number,value,params_colsample_bytree,params_handle_imbalance,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_accuracy,user_attrs_auc_roc,user_attrs_f1,user_attrs_precision,user_attrs_recall
0,0.7785776540912281,0.6181340113778996,False,0.00927278564262487,7,475,0.9828800646476907,0.8182432432432433,0.7785776540912281,0.48036059240180295,0.6637010676156584,0.3763874873864783
1,0.781513470465854,0.6394950687438652,True,0.0035262547036370323,4,461,0.8723164979445561,0.7522522522522522,0.781513470465854,0.5311167945439045,0.45977859778597785,0.6286579212916246
2,0.7816147004689056,0.8972132712628342,True,0.010288759870155508,4,244,0.6616393952784438,0.7560810810810811,0.7816147004689056,0.5321814254859611,0.4652567975830816,0.6215943491422805
3,0.7825000241372118,0.7275639305542704,True,0.019858126916951747,3,164,0.7939078746592096,0.7504504504504504,0.7825000241372118,0.5297113752122241,0.45714285714285713,0.6296670030272452
4,0.7739987518867253,0.7871320318798923,False,0.024718874790597683,8,428,0.6864942577801055,0.8182432432432433,0.7739987518867253,0.4889170360987967,0.6564625850340136,0.3895055499495459
5,0.7711151596610726,0.978528794548913,False,0.046663721723263184,7,360,0.7604689247209591,0.8177927927927928,0.7711151596610726,0.4902331442974165,0.6526845637583892,0.39253279515640765
6,0.7740398582896987,0.8868746174008111,False,0.001333624286603733,8,179,0.9404168526879685,0.7768018018018018,0.7740398582896987,0.0,0.0,0.0
7,0.7791895689796163,0.9944886515959741,True,0.0022030322829534148,3,232,0.7127890498863213,0.7288288288288288,0.7791895689796163,0.518784972022382,0.42951687624090007,0.6548940464177598
8,0.7823509585691344,0.9755671822267604,False,0.008109816719891099,4,341,0.7287463549559731,0.8207207207207208,0.7823509585691344,0.4679144385026738,0.693069306930693,0.35317860746720486
9,0.7820806217979793,0.8932064938084132,True,0.025033150797294006,5,184,0.6485032379256281,0.7574324324324324,0.7820806217979793,0.5303096380287833,0.46697388632872505,0.6135216952573158
10,0.7523921439666187,0.7165512289153078,False,0.16361068801486148,8,245,0.6702695616589458,0.806981981981982,0.7523921439666187,0.4726153846153846,0.6056782334384858,0.3874873864783047
11,0.7809986895688333,0.8131121723201871,True,0.005161753275655188,6,487,0.6912822352669992,0.7621621621621621,0.7809986895688333,0.5289919714540589,0.47402078337330134,0.5983854692230071
12,0.782874077775655,0.9486273355275607,False,0.011748595129416884,3,286,0.6425108616486781,0.820045045045045,0.782874077775655,0.4683965402528277,0.6875,0.35519677093844604
13,0.7821307979411104,0.6828881391364234,False,0.0011254128424957983,4,396,0.7900735913159156,0.7768018018018018,0.7821307979411104,0.0,0.0,0.0
14,0.7408185703807447,0.9070276958414658,True,0.2861609629385017,5,254,0.776769995899697,0.7563063063063064,0.7408185703807447,0.4962756052141527,0.4606741573033708,0.5378405650857719
15,0.7772359176924006,0.9941539208777945,False,0.00540552289894733,7,183,0.9073234404892381,0.8105855855855856,0.7772359176924006,0.3565416985462892,0.7373417721518988,0.23511604439959638
16,0.7795339265333493,0.684772335387049,False,0.003882040980477384,8,306,0.7134526100771061,0.8114864864864865,0.7795339265333493,0.3634980988593156,0.7376543209876543,0.24117053481331988
17,0.7765315499688558,0.8163939648817041,False,0.10769258552930255,6,104,0.9934914090444574,0.8189189189189189,0.7765315499688558,0.48984771573604063,0.6598290598290598,0.3895055499495459
18,0.7826891721053412,0.7676865727061292,True,0.07020188461887804,3,109,0.8324776367337386,0.7490990990990991,0.7826891721053412,0.5291631445477599,0.4552727272727273,0.6316851664984864
19,0.7819842192372699,0.7697494571344451,False,0.0479199027242709,3,104,0.8576700746636949,0.8202702702702702,0.7819842192372699,0.4743083003952569,0.683111954459203,0.3632694248234107
20,0.7823453996961344,0.7692972167478233,True,0.06343533898656217,3,103,0.845975006340445,0.7502252252252253,0.7823453996961344,0.52988554472234,0.45687134502923976,0.6306760847628657
21,0.7818578280195871,0.7859293508502312,False,0.08700179705106661,3,111,0.6052511366542035,0.8186936936936937,0.7818578280195871,0.47625243981782694,0.6703296703296703,0.3693239152371342
22,0.773261616069707,0.8492730291276457,True,0.0952083264042531,6,121,0.8668578672598579,0.7576576576576577,0.773261616069707,0.5170556552962298,0.465642683912692,0.5812310797174571
23,0.7792520331577997,0.835137472294555,True,0.053587812912050184,6,101,0.8455164548977744,0.7608108108108108,0.7792520331577997,0.5284191829484902,0.471847739888977,0.6004036326942482
24,0.7817087624515098,0.8435908540545113,True,0.0570382551230134,3,301,0.8580199234947257,0.7484234234234234,0.7817087624515098,0.5256900212314225,0.4538123167155425,0.6246215943491423
25,0.7825709729110267,0.8361284507501333,True,0.004060823896576248,5,303,0.6190014068314341,0.756981981981982,0.7825709729110267,0.5335062689148292,0.46671709531013617,0.6226034308779012
26,0.7810672977645431,0.8429113479208487,True,0.004761300682537577,5,303,0.9187763503378319,0.756981981981982,0.7810672977645431,0.5277899343544857,0.4659969088098918,0.6084762865792129
27,0.7795178350588757,0.8348491050090447,True,0.03519188963331815,5,305,0.8143673769831257,0.7560810810810811,0.7795178350588757,0.523117569352708,0.4640625,0.5993945509586277
28,0.7824116673137389,0.7240961482387933,True,0.021702063076238044,3,149,0.6005201239696912,0.7513513513513513,0.7824116673137389,0.5298126064735945,0.45836403831982314,0.627648839556004
29,0.7816332788076159,0.7288470367396956,True,0.018544767581157372,3,151,0.8138888914396814,0.7511261261261262,0.7816332788076159,0.5287846481876333,0.45790251107828656,0.6256306760847629
30,0.7826468954133153,0.727405920420711,True,0.017568655383304287,3,302,0.8167570053213786,0.7513513513513513,0.7826468954133153,0.5322033898305085,0.4587289992695398,0.6337033299697276
31,0.7831392945322048,0.729246811042681,True,0.01897175061368188,4,157,0.610388058281971,0.7554054054054054,0.7831392945322048,0.5322997416020672,0.46431254695717505,0.6236125126135217
32,0.7821334310914788,0.7414867716715166,True,0.012717434713535949,4,151,0.825688520306795,0.7572072072072072,0.7821334310914788,0.5341400172860847,0.4671201814058957,0.6236125126135217
33,0.7820300067964536,0.675166596054479,True,0.0130194113037721,4,296,0.754040017959555,0.7567567567567568,0.7820300067964536,0.532871972318339,0.4663133989401968,0.6215943491422805
34,0.7821679546185312,0.9373865643119129,True,0.015016967169632182,4,223,0.7493409010357347,0.7558558558558559,0.7821679546185312,0.5315471045808124,0.46485260770975056,0.62058526740666
